Number,Al,Co,Ni
1,1.191720677,69.97700188,28.83127744
2,1.163159564,74.32589616,24.51094427
3,1.646046261,78.63367402,19.72027972
4,3.020061055,82.20671609,14.77322285
5,6.135449262,85.06928923,8.795261511
6,11.06831313,85.11385522,3.817831653
7,16.4791901,81.96850394,1.552305962
8,22.18506132,77.12374582,0.691192865
9,27.17846901,72.22589896,0.595632032
10,31.66447079,68.03908652,0.296442688
11,35.65340909,63.96416084,0.38243007
12,0.548200248,64.66694249,34.78485726
13,0.499168053,67.89725458,31.60357737
14,0.682558017,71.70009451,27.61734747
15,1.256388416,75.31942078,23.4241908
16,3.509719222,78.66090713,17.82937365
17,8.102181778,79.80484596,12.09297226
18,12.71837098,80.59419161,6.68743741
19,19.48821097,78.28807688,2.223712147
20,25.00833982,73.96864228,1.023017903
21,29.84713516,69.62498625,0.527878588
22,34.25360105,65.30990834,0.436490615
23,37.98803698,61.76182708,0.250135943
24,41.64401435,58.1059041,0.250081548
25,0.56196996,58.1996526,41.23837744
26,0.338774253,61.46186223,38.19936352
27,0.509249636,64.47723966,35.0135107
28,0.804177546,67.88511749,31.31070496
29,1.77589852,71.50105708,26.7230444
30,5.163714439,73.55877617,21.27750939
31,10.17391304,74.01086957,15.81521739
32,15.89041096,73.91780822,10.19178082
33,23.26683567,72.33550094,4.397663397
34,28.64310402,69.84056194,1.516334039
35,33.45810855,65.93636464,0.605526808
36,37.83193094,61.94951371,0.218555349
37,40.61273441,59.12559965,0.26166594
38,44.10994764,55.53010471,0.359947644
39,46.70133247,53.09283935,0.205828188
40,0.040824658,53.35782813,46.60134721
41,0.41943734,55.51918159,44.06138107
42,0.52302328,58.03507333,41.44190339
43,0.569830087,61.00290095,38.42726896
44,1.021684737,63.68849041,35.28982485
45,2.688738929,66.64909321,30.66216786
46,7.498136117,67.79209713,24.70976675
47,12.4226254,67.95090715,19.62646745
48,19.40540541,67.21081081,13.38378378
49,25.93688363,66.48038571,7.58273066
50,32.39764784,64.80639077,2.795961389
51,37.29675921,61.77414003,0.929100763
52,41.28450456,58.19861432,0.516881117
53,44.29949572,55.34970401,0.350800263
54,47.4000437,52.37054839,0.229407909
55,49.87424822,49.85237835,0.273373428
56,52.13358071,47.70271745,0.163701844
57,0.510360314,47.81055425,51.67908543
58,0.377628087,49.94896918,49.67340274
59,0.358827148,52.22472832,47.41644454
60,0.65546907,54.17861532,45.16591561
61,0.908340215,56.88480595,42.20685384
62,1.738858809,59.454394,38.80674719
63,4.860382112,61.46336343,33.67625446
64,9.459459459,61.56038851,28.98015203
65,15.18141311,61.16061956,23.65796732
66,22.30686695,60.41845494,17.27467811
67,28.90845836,59.80647967,11.28506197
68,35.64717586,59.14667846,5.206145684
69,41.08673867,57.19853023,1.714731099
70,44.83752911,54.51924143,0.643229455
71,48.26029509,51.36533803,0.37436688
72,51.10306223,48.60059269,0.296345077
73,53.18705431,46.56061437,0.252331322
74,56.319848,43.601281,0.078871
75,59.108984,40.937218,-0.046202
76,0.438328236,44.43425076,55.127421
77,0.305467875,46.39038794,53.30414418
78,0.255336534,48.59564907,51.1490144
79,0.635050702,50.34313223,49.02181706
80,1.280594857,52.45275225,46.2666529
81,2.881724889,54.65947963,42.45879548
82,6.677099635,55.92070944,37.40219092
83,12.10117548,54.95382032,32.9450042
84,18.77840008,54.7712142,26.45038571
85,25.65138785,53.64245454,20.70615761
86,32.08076882,53.25558795,14.66364324
87,38.12239526,53.0269796,8.850625137
88,44.66592428,51.55902004,3.775055679
89,49.06651761,49.81553941,1.117942985
90,52.05479452,47.39948769,0.545717786
91,54.92801772,44.89479513,0.177187154
92,56.90265487,42.98672566,0.110619469
93,58.911384,40.91160527,0.177010731
94,60.15121192,39.70424728,0.144540805
95,0.620296929,39.38377059,59.99593248
96,0.355691057,40.81300813,58.83130081
97,0.530883104,42.22562532,57.24349158
98,0.764759865,44.09095544,55.14428469
99,0.912165625,45.80301322,53.28482115
100,1.816680429,47.83236994,50.35094963
101,4.82228227,49.28289337,45.89482436
102,9.284818068,49.28900042,41.42618151
103,14.96655518,49.15342809,35.88001672
104,21.83328077,48.22873962,29.93797961
105,28.50037041,47.23251138,24.26711821
106,34.88571735,46.95782809,18.15645456
107,41.12780318,46.6361855,12.23601132
108,47.50667854,45.85930543,6.634016028
109,53.14827353,44.76416159,2.087564884
110,56.28095452,42.97613688,0.7429086
111,58.57501793,40.94125205,0.483730024
112,60.86907703,38.90635527,0.224567707
113,63.5824315,36.99491,-0.5773415
114,66.128077,35.03408,-1.162157
115,68.6737225,33.07325,-1.7469725
116,0.39767513,36.05587845,63.54644642
117,0.519559902,37.32681337,62.15362673
118,0.56059525,38.37529304,61.06411171
119,0.60296372,39.67296883,59.72406745
120,1.528832341,41.15534578,57.31582188
121,3.18918361,42.94560842,53.86520797
122,7.134697269,43.3897601,49.47554263
123,11.76165265,43.09145645,45.1468909
124,18.17517486,42.30086648,39.52395866
125,24.82403614,41.82161992,33.35434394
126,31.20769882,41.23307953,27.55922166
127,37.76470588,40.53475936,21.70053476
128,44.07773315,39.99565737,15.92660949
129,50.28142589,39.49895155,10.21962256
130,56.09811235,39.17712219,4.724765457
131,55.057685,41.968425,2.97389
132,54.01725539,44.75972688,1.223017722
133,58.43775,40.6826,0.87965
134,62.87294,36.590445,0.536615
135,67.30813027,32.49829196,0.193577773
136,65.01103753,34.76821192,0.220750552
137,0.702719218,32.25379367,67.04348712
138,0.480572597,32.96523517,66.55419223
139,0.785553969,33.89104264,65.32340339
140,1.141740383,34.86936844,63.98889117
141,2.154861326,36.26147025,61.58366842
142,5.079825835,37.22786647,57.69230769
143,9.260603547,37.58166546,53.157731
144,15.03626943,36.96373057,48
145,21.47239264,36.37308932,42.15451804
146,28.18714674,35.47205359,36.34079967
147,34.27120795,34.99048022,30.73831183
148,40.50903647,34.42412576,25.06683777
149,46.65362886,33.83311604,19.51325511
150,53.10307018,33.25657895,13.64035088
151,58.44339792,33.25443666,8.302165415
152,63.7837212,33.25228667,2.963992127
153,67.07004887,32.12706539,0.802885734
154,68.9840196,30.59605739,0.419923014
155,69.54002601,30.19983446,0.260139529
156,72.140151,28.8717285,-1.0118795
157,74.058438,27.802893,-1.861331
158,0.482051282,28.08205128,71.43589744
159,0.969981621,28.44598734,70.58403104
160,0.987679462,29.29436921,69.71795133
161,1.637993201,30.41104358,67.95096322
162,3.483099753,30.92539159,65.59150866
163,7.241558442,31.41818182,61.34025974
164,12.29304636,31.11548013,56.59147351
165,18.07868443,30.53705246,51.38426311
166,24.43957877,30.0802836,45.48013763
167,30.93622795,29.48543993,39.57833212
168,37.23673126,28.55939343,34.20387532
169,43.53705281,28.34327087,28.11967632
170,49.78962132,27.65131082,22.55906786
171,55.58001321,27.39379265,17.02619414
172,60.98265305,27.49777637,11.51957058
173,66.3852914,27.60175763,6.012950971
174,68.43269158,28.48134858,3.085959846
175,69.99451454,29.3609435,0.644541964
176,72.25712905,27.4206541,0.322216852
177,74.23978066,25.52342971,0.236789631
178,74.72879684,25.12327416,0.147928994
179,0.605749487,24.32238193,75.07186858
180,0.749255876,23.93513292,75.31561121
181,1.420191417,24.64752496,73.93228363
182,2.479851209,25.25315148,72.26699731
183,5.389718076,25.62189055,68.98839138
184,9.21025429,25.55302874,65.23671697
185,14.96739468,25.15267571,59.87992961
186,20.95595909,24.59820497,54.44583594
187,27.57184506,23.82340691,48.60474802
188,33.54284517,23.55960612,42.89754871
189,40.26824374,22.80071813,36.93103812
190,46.35966315,22.4176527,31.22268415
191,52.180937,22.08939149,25.72967151
192,57.95904888,21.74152356,20.29942756
193,63.32246092,21.60611855,15.07142054
194,68.78552372,21.76081661,9.453659668
195,72.96419,21.71892,5.31689
196,77.14285714,21.67701863,1.180124224
197,78.2537893,21.19503946,0.551171239
198,78.87931034,20.74036511,0.380324544
199,78.7941519,20.94708242,0.258765688
200,1.098104216,19.6830001,79.21889568
201,1.020408163,19.63512678,79.34446506
202,1.637136048,19.93575795,78.427106
203,4.075691412,19.85859846,76.06571013
204,7.952887221,19.91869919,72.12841359
205,12.15108436,19.84019923,68.00871641
206,17.78656126,19.39879343,62.81464531
207,24.03966597,18.49686848,57.46346555
208,30.47529313,18.00670017,51.5180067
209,36.62340381,17.4795897,45.89700649
210,42.93409379,17.08914237,39.97676384
211,48.77553203,16.58646134,34.63800663
212,54.63683528,16.34241245,29.02075227
213,60.43798833,16.02288984,23.53912182
214,65.65736155,15.95002251,18.39261594
215,71.08042242,15.96843449,12.95114309
216,76.12214864,16.29874908,7.579102281
217,80.68947641,16.67962675,2.630896838
218,82.7793352,16.433053,0.787611801
219,82.89455736,16.6143773,0.491065339
220,82.49220301,17.03997732,0.467819677
221,1.329007953,15.39347007,83.27752198
222,1.686270428,14.61434371,83.69938586
223,2.617909828,14.74132558,82.6407646
224,5.424898087,14.40367931,80.1714226
225,9.669369931,14.22333125,76.10729881
226,15.25,13.86458333,70.88541667
227,21.43526716,13.27986668,65.28486616
228,27.36754276,12.89111389,59.74134335
229,33.60433604,12.28893058,54.10673338
230,39.72187369,11.83605186,48.44207445
231,45.42380047,11.59374339,42.98245614
232,51.12854686,11.26397248,37.60748065
233,57.07449701,10.99510604,31.93039695
234,62.46696035,10.77092511,26.76211454
235,67.76635408,10.58637442,21.64727149
236,72.7176595,10.55105158,16.73128892
237,78.00321663,10.65198565,11.34479772
238,83.1175764,11.03696784,5.845455759
239,86.83457355,11.46250716,1.70291929
240,87.33092876,11.90261497,0.766456267
241,86.44641418,12.87671233,0.676873489
242,2.334424844,9.707404669,87.95817049
243,4.034461021,9.392729565,86.57280941
244,8.249051833,8.912768647,82.83817952
245,12.35238792,8.53798725,79.10962483
246,18.21036107,8.341182627,73.44845631
247,24.3412798,7.65370138,68.00501882
248,30.19796795,7.290248246,62.51178381
249,36.2289916,6.911764706,56.8592437
250,41.81280372,6.76103951,51.42615677
251,48.09614976,6.09444799,45.80940225
252,53.46929967,5.848710478,40.68198986
253,59.38218863,5.608500383,35.00931099
254,64.44049339,5.500611179,30.05889543
255,69.73145198,5.245789713,25.02275831
256,74.52168746,5.121806298,20.35650624
257,79.67204907,5.169608211,15.15834272
258,84.64577657,5.340599455,10.01362398
259,89.85197619,5.753090188,4.394933618
260,92.24049332,6.217882837,1.541623844
261,4.117266652,4.559172235,91.32356111
262,6.247339293,3.905917412,89.8467433
263,10.22451776,3.689258986,86.08622325
264,15.45980032,3.23699422,81.30320547
265,20.85392786,3.102324114,76.04374803
266,27.11597098,2.733676795,70.15035222
267,32.6280507,2.461506232,64.91044307
268,38.77615393,2.239512144,58.98433393
269,44.31118658,2.18637232,53.5024411
270,49.7112917,1.914029085,48.37467921
271,55.2815764,1.765909336,42.95251427
272,60.53522665,1.671217914,37.79355543
273,65.47579299,1.491374513,33.0328325
274,70.37928269,1.466712501,28.15400481
275,75.12817456,1.478478598,23.39334685
276,79.74747475,1.439393939,18.81313131
277,84.44108761,1.524306509,14.03460588
278,89.69943644,1.80025047,8.500313087
279,94.22929448,2.281441718,3.489263804
280,9.283107963,1.266366173,89.45052586
281,13.10520182,0.932302151,85.96249603
282,18.02606685,1.019550137,80.95438301
283,23.57757716,0.829309259,75.59311358
284,28.69180535,0.737307773,70.57088688
285,34.02159103,0.628864899,65.34954407
286,39.47368421,0.618578318,59.90773747
287,44.84177215,0.5907173,54.56751055
288,49.68667021,0.541688794,49.771641
289,55.41729243,0.472001716,44.11070586
290,60.09969658,0.444299957,39.45600347
291,64.81973015,0.464499005,34.71577085
292,69.26206351,0.440727766,30.29720872
293,73.55352542,0.445069103,26.00140548
294,77.78873413,0.640946629,21.57031924
295,82.16100562,0.655255416,17.18373897
296,86.31660232,0.849420849,12.83397683
297,16.34808322,0.549160418,83.10275636
298,20.45024195,0.525983589,79.02377446
299,25.27426601,0.240309268,74.48542472
300,30.05521408,0.302114804,69.64267111
301,35.05615641,0.259983361,64.68386023
302,40.27139875,0.208768267,59.51983299
303,44.84455145,0.240762064,54.91468649
304,49.52360788,0.169383866,50.30700826
305,54.64005097,0.212359312,45.14758972
306,59.03201628,0.246279045,40.72170468
307,63.51926646,0.240148455,36.24058509
308,67.97066015,0.211158035,31.81818182
309,71.7458856,0.253193693,28.0009207
310,75.54885404,0.25331725,24.19782871
311,79.18410042,0.3791841,20.43671548
312,22.97283122,0.262246932,76.76492185
313,27.19958203,0.094043887,72.70637409
314,31.25064976,0.166337457,68.58301279
315,35.83238016,0.187168556,63.98045128
316,40.30612245,0.156184923,59.53769263
317,44.63353518,0.093965337,55.27249948
318,49.19600631,0.189174987,50.61481871
319,53.70311675,0.116217644,46.18066561
320,57.86829164,0.11759675,42.01411161
321,62.04165763,0.108483402,37.84985897
322,65.84448623,0.221214467,33.9342993
323,69.59183673,0.204081633,30.20408163
324,72.91317867,0.23917723,26.8476441
325,29.23539786,0.155617803,70.60898433
326,32.30514439,0.227719698,67.46713591
327,36.57676349,0.093360996,63.32987552
328,40.79850281,0.062383032,59.13911416
329,44.58446157,0.052072485,55.36346594
330,48.57112949,0.146550822,51.28231969
331,52.58429342,0.095127365,47.32057922
332,56.83147262,0.063795853,43.10473153
333,60.81400344,0.150343643,39.03565292
334,64.23085363,0.120693439,35.64845293
335,67.32483358,0.135394336,32.53977209
336,37.64596466,0.072336468,62.28169887
337,41.1509901,0.061881188,58.78712871
338,44.70305814,0.073061267,55.2238806
339,48.35498743,0.010477787,51.63453479
340,51.94067529,0.105185653,47.95413906
341,55.94620354,0.084718839,43.96907762
342,59.29572942,0.0107032,40.69356738